cntry,essround,variable,ess_id,party,partyfacts_id,partyfacts_name,original_partyfacts_data
AT,8,prtvtbat,11,Not applicable,NA,NA,0
AT,8,prtvtbat,12,Refusal,NA,NA,0
AT,8,prtvtbat,13,Don't know,NA,NA,0
AT,9,prtvtcat,1,SPÖ,1384,SPO,0
AT,9,prtvtcat,2,ÖVP,1329,OVP,0
AT,9,prtvtcat,3,FPÖ,463,FPO,0
AT,9,prtvtcat,4,PILZ,6137,Liste Peter Pilz,0
AT,9,prtvtcat,5,Grüne,1659,GRUENE,0
AT,9,prtvtcat,6,KPÖ,996,KPO,0
AT,9,prtvtcat,7,NEOS,1970,NEOS,0
AT,9,prtvtcat,8,GILT,6138,Meine Stimme GILT,0
AT,9,prtvtcat,9,Other,NA,NA,0
AT,9,prtvtcat,66,Not applicable,NA,NA,0
AT,9,prtvtcat,77,Refusal,NA,NA,0
AT,9,prtvtcat,88,Don't know,NA,NA,0
BE,1,prtvtbe,1,Agalev,528,AGL-Gr,1
BE,1,prtvtbe,2,CVP,622,CVP,1
BE,1,prtvtbe,3,SP,1680,SPA,1
BE,1,prtvtbe,5,VLD,49,PVV-OVLD,1
BE,1,prtvtbe,6,VU-ID,1424,VU,1
BE,1,prtvtbe,7,PVDA-AE,1753,PA-PTB,1
BE,1,prtvtbe,8,Vlaams Blok,553,VB,1
BE,1,prtvtbe,9,VIVANT,76,V,1
BE,1,prtvtbe,10,ECOLO,1563,Ecolo,1
BE,1,prtvtbe,11,PSC,2338,CDH,1
BE,1,prtvtbe,12,PRL-FDF,698,FDF,1
BE,1,prtvtbe,13,PS,500,PS,1
BE,1,prtvtbe,14,FRONT NATIONAL,191,FN,1
BE,1,prtvtbe,15,PTB-UA,1753,PA-PTB,1
BE,1,prtvtbe,16,OTHER,NA,NA,1
BE,1,prtvtbe,17,Not applicable,NA,NA,1
BE,1,prtvtbe,18,Refusal,NA,NA,1
BE,1,prtvtbe,19,Don't know,NA,NA,1
BE,1,prtvtbe,20,No answer,NA,NA,1
BE,2,prtvtabe,1,Agalev/Groen!,528,AGL-Gr,1
BE,2,prtvtabe,2,CD&V,604,CD&V,1
BE,2,prtvtabe,3,N-VA,36,N-VA,1
BE,2,prtvtabe,5,SP.A-Spirit,1586,SPA/Spirit,1
BE,2,prtvtabe,6,Vivant,76,V,1
BE,2,prtvtabe,7,Vlaams Blok,553,VB,1
BE,2,prtvtabe,8,VLD,49,PVV-OVLD,1
BE,2,prtvtabe,9,CDH,2338,CDH,1
BE,2,prtvtabe,10,Ecolo,1563,Ecolo,1
BE,2,prtvtabe,11,Front National,191,FN,1
BE,2,prtvtabe,12,MR,789,MR,1
BE,2,prtvtabe,13,PS,500,PS,1
BE,2,prtvtabe,14,Other,NA,NA,1
BE,2,prtvtabe,15,Blank,NA,NA,1
BE,2,prtvtabe,16,Invalid,3002,tech,1
BE,2,prtvtabe,17,Not applicable,NA,NA,1
BE,2,prtvtabe,18,Refusal,NA,NA,1
BE,2,prtvtabe,19,Don't know,NA,NA,1
BE,3,prtvtabe,1,Agalev/Groen!,528,AGL-Gr,1
BE,3,prtvtabe,2,CD&V,604,CD&V,1
BE,3,prtvtabe,3,N-VA,36,N-VA,1
BE,3,prtvtabe,5,SP.A-Spirit,1586,SPA/Spirit,1
BE,3,prtvtabe,6,Vivant,76,V,1
BE,3,prtvtabe,7,Vlaams Blok,553,VB,1
BE,3,prtvtabe,8,VLD,49,PVV-OVLD,1
BE,3,prtvtabe,9,CDH,2338,CDH,1
BE,3,prtvtabe,10,Ecolo,1563,Ecolo,1
BE,3,prtvtabe,11,Front National,191,FN,1
BE,3,prtvtabe,12,MR,789,MR,1
BE,3,prtvtabe,13,PS,500,PS,1
BE,3,prtvtabe,14,Other,NA,NA,1
BE,3,prtvtabe,15,Blank,NA,NA,1
BE,3,prtvtabe,16,Invalid,3002,tech,1
BE,3,prtvtabe,17,Not applicable,NA,NA,1
BE,3,prtvtabe,18,Refusal,NA,NA,1
BE,3,prtvtabe,19,Don't know,NA,NA,1
BE,4,prtvtbbe,1,Groen!,528,AGL-Gr,1
BE,4,prtvtbbe,2,CD&V + N-VA,756,CD&V/N-VA,1
BE,4,prtvtbbe,3,Lijst Dedecker,43,LD/LDD,1
BE,4,prtvtbbe,4,SP.A. + Vlaams - Progressieven (Spirit),1586,SPA/Spirit,1
BE,4,prtvtbbe,5,Vlaams Belang,1968,VB,1
BE,4,prtvtbbe,6,Open VLD + Vivant,49,PVV-OVLD,1
BE,4,prtvtbbe,7,CDH,2338,CDH,1
BE,4,prtvtbbe,8,Ecolo,1563,Ecolo,1
BE,4,prtvtbbe,9,Front National,191,FN,1
BE,4,prtvtbbe,10,MR,789,MR,1
BE,4,prtvtbbe,11,PS,500,PS,1
BE,4,prtvtbbe,12,Other,NA,NA,1
BE,4,prtvtbbe,13,Blank,NA,NA,1
BE,4,prtvtbbe,14,Invalid,3002,tech,1
BE,4,prtvtbbe,15,Not applicable,NA,NA,1
BE,4,prtvtbbe,16,Refusal,NA,NA,1
BE,4,prtvtbbe,17,Don't know,NA,NA,1
BE,5,prtvtcbe,1,Groen!,528,AGL-Gr,1
BE,5,prtvtcbe,2,CD&V,604,CD&V,1
BE,5,prtvtcbe,3,N-VA,36,N-VA,1
BE,5,prtvtcbe,4,Lijst Dedecker,43,LD/LDD,1
BE,5,prtvtcbe,5,SP.A,1680,SPA,1
BE,5,prtvtcbe,6,PVDA+,1753,PA-PTB,1
BE,5,prtvtcbe,7,Vlaams Belang,1968,VB,1
BE,5,prtvtcbe,8,Open VLD,49,PVV-OVLD,1
BE,5,prtvtcbe,9,CDH,2338,CDH,1
BE,5,prtvtcbe,10,Ecolo,1563,Ecolo,1
BE,5,prtvtcbe,11,Front National,191,FN,1
BE,5,prtvtcbe,12,MR,789,MR,1
BE,5,prtvtcbe,13,PS,500,PS,1
BE,5,prtvtcbe,14,PTB,1753,PA-PTB,1
BE,5,prtvtcbe,15,Parti Populaire,639,Pp,1
BE,5,prtvtcbe,16,Other,NA,NA,1
BE,5,prtvtcbe,17,Blanco,NA,NA,1
BE,5,prtvtcbe,18,Ongeldig,3002,tech,1
BE,5,prtvtcbe,19,Not applicable,NA,NA,1
BE,5,prtvtcbe,20,Refusal,NA,NA,1
BE,5,prtvtcbe,21,Don't know,NA,NA,1
BE,6,prtvtcbe,1,Groen!,528,AGL-Gr,1
BE,6,prtvtcbe,2,CD&V,604,CD&V,1
BE,6,prtvtcbe,3,N-VA,36,N-VA,1
BE,6,prtvtcbe,4,Lijst Dedecker,43,LD/LDD,1
BE,6,prtvtcbe,5,SP.A,1680,SPA,1
BE,6,prtvtcbe,6,PVDA+,1753,PA-PTB,1
BE,6,prtvtcbe,7,Vlaams Belang,1968,VB,1
BE,6,prtvtcbe,8,Open VLD,49,PVV-OVLD,1
BE,6,prtvtcbe,9,CDH,2338,CDH,1
BE,6,prtvtcbe,10,Ecolo,1563,Ecolo,1
BE,6,prtvtcbe,11,Front National,191,FN,1
BE,6,prtvtcbe,12,MR,789,MR,1
BE,6,prtvtcbe,13,PS,500,PS,1
BE,6,prtvtcbe,14,PTB,1753,PA-PTB,1
BE,6,prtvtcbe,15,Parti Populaire,639,Pp,1
BE,6,prtvtcbe,16,Other,NA,NA,1
BE,6,prtvtcbe,17,Blanco,NA,NA,1
BE,6,prtvtcbe,18,Ongeldig,3002,tech,1
BE,6,prtvtcbe,19,Not applicable,NA,NA,1
BE,6,prtvtcbe,20,Refusal,NA,NA,1
BE,6,prtvtcbe,21,Don't know,NA,NA,1
BE,7,prtvtcbe,1,Groen!,528,AGL-Gr,1
BE,7,prtvtcbe,2,CD&V,604,CD&V,1
BE,7,prtvtcbe,3,N-VA,36,N-VA,1
BE,7,prtvtcbe,5,SP.A,1680,SPA,1
BE,7,prtvtcbe,6,PVDA+,1753,PA-PTB,1
BE,7,prtvtcbe,7,Vlaams Belang,1968,VB,1
BE,7,prtvtcbe,8,Open VLD,49,PVV-OVLD,1
BE,7,prtvtcbe,9,CDH,2338,CDH,1
BE,7,prtvtcbe,10,Ecolo,1563,Ecolo,1
BE,7,prtvtcbe,11,Front National,191,FN,1
BE,7,prtvtcbe,12,MR,789,MR,1
BE,7,prtvtcbe,13,PS,500,PS,1
BE,7,prtvtcbe,14,PTB,1753,PA-PTB,1
BE,7,prtvtcbe,15,Parti Populaire,639,Pp,1
BE,7,prtvtcbe,16,Other,NA,NA,1
BE,7,prtvtcbe,17,Blanco,NA,NA,1
BE,7,prtvtcbe,18,Ongeldig,3002,tech,1
BE,7,prtvtcbe,19,Not applicable,NA,NA,1
BE,7,prtvtcbe,20,Refusal,NA,NA,1
BE,7,prtvtcbe,21,Don't know,NA,NA,1
BE,8,prtvtcbe,1,Groen!,528,AGL-Gr,0
BE,8,prtvtcbe,2,CD&V,604,CD&V,0
BE,8,prtvtcbe,3,N-VA,36,N-VA,0
BE,8,prtvtcbe,5,SP.A,1680,SPA,0
BE,8,prtvtcbe,6,PVDA+,1753,PA-PTB,0
BE,8,prtvtcbe,7,Vlaams Belang,1968,VB,0
BE,8,prtvtcbe,8,Open VLD,49,PVV-OVLD,0
BE,8,prtvtcbe,9,CDH,2338,CDH,0
BE,8,prtvtcbe,10,Ecolo,1563,Ecolo,0
BE,8,prtvtcbe,11,Front National,191,FN,0
BE,8,prtvtcbe,12,MR,789,MR,0
BE,8,prtvtcbe,13,PS,500,PS,0
BE,8,prtvtcbe,14,PTB,1753,PA-PTB,0
BE,8,prtvtcbe,15,Parti Populaire,639,Pp,0
BE,8,prtvtcbe,16,Other,NA,NA,0
BE,8,prtvtcbe,17,Blanco,NA,NA,0
BE,8,prtvtcbe,18,Ongeldig,3002,tech,0
BE,8,prtvtcbe,19,Not applicable,NA,NA,0
BE,8,prtvtcbe,20,Refusal,NA,NA,0
BE,8,prtvtcbe,21,Don't know,NA,NA,1
BE,9,prtvtdbe,1,Groen!,528,AGL-Gr,0
BE,9,prtvtdbe,2,CD&V,604,CD&V,0
BE,9,prtvtdbe,3,N-VA,36,N-VA,0
BE,9,prtvtdbe,5,SP.A,1680,SPA,0
BE,9,prtvtdbe,6,PVDA+,1753,PA-PTB,0
BE,9,prtvtdbe,7,Vlaams Belang,1968,VB,0
BE,9,prtvtdbe,8,Open VLD,49,PVV-OVLD,0
BE,9,prtvtdbe,9,CDH,2338,CDH,0
BE,9,prtvtdbe,10,Ecolo,1563,Ecolo,0
BE,9,prtvtdbe,11,Front National,191,FN,0
BE,9,prtvtdbe,12,MR,789,MR,0
BE,9,prtvtdbe,13,PS,500,PS,0
BE,9,prtvtdbe,14,PTB,1753,PA-PTB,0
BE,9,prtvtdbe,15,Parti Populaire,639,Pp,0
BE,9,prtvtdbe,16,DéFI,698,DeFI,0
BE,9,prtvtdbe,17,Other,NA,NA,0
BE,9,prtvtdbe,18,Blanco,NA,NA,0
BE,9,prtvtdbe,19,Ongeldig,NA,NA,0
BE,9,prtvtdbe,66,Not applicable,NA,NA,0
BE,9,prtvtdbe,77,Refusal,NA,NA,0
BE,9,prtvtdbe,88,Don't know,NA,NA,1
BG,3,prtvtbg,1,BSP,757,BSP,1
BG,3,prtvtbg,2,DPS,982,DPS,1
BG,3,prtvtbg,3,Coalition of the rose,2054,KR,1
BG,3,prtvtbg,4,DSB,1195,DSB,1
BG,3,prtvtbg,5,NDSV,374,NDSV,1
BG,3,prtvtbg,6,SDS,482,SDS,1
BG,3,prtvtbg,7,BNS,263,BNS,1
BG,3,prtvtbg,8,Novoto Vreme,2022,HB,1
BG,3,prtvtbg,9,Evroroma,2055,ER,1
BG,3,prtvtbg,10,Coalition Ataka,4798,Attack,1
BG,3,prtvtbg,11,Other,NA,NA,1
BG,3,prtvtbg,12,Not applicable,NA,NA,1
BG,3,prtvtbg,13,Refusal,NA,NA,1
BG,3,prtvtbg,14,Don't know,NA,NA,1
BG,3,prtvtbg,15,No answer,NA,NA,1
BG,4,prtvtabg,1,Koalitziia za Balgariia,1665,KzB,1
BG,4,prtvtabg,2,Dvijenie za Prava i Svobodi,982,DPS,1
BG,4,prtvtabg,3,Koalitziia na Rozata,2054,KR,1
BG,4,prtvtabg,4,Demokrati za Silna Balgariia,1195,DSB,1
BG,4,prtvtabg,5,Natzionalno Dvijenie Simeon II,374,NDSV,1
BG,4,prtvtabg,6,Koalitziia ODS,1183,ODS,1
BG,4,prtvtabg,7,Koalitziia BNS,263,BNS,1
BG,4,prtvtabg,8,Novo Vreme,2022,HB,1
BG,4,prtvtabg,9,Evroroma,2055,ER,1
BG,4,prtvtabg,10,Koalitziia Ataka,4798,Attack,1
BG,4,prtvtabg,11,Other,NA,NA,1
BG,4,prtvtabg,12,Not applicable,NA,NA,1
BG,4,prtvtabg,13,Refusal,NA,NA,1
BG,4,prtvtabg,14,Don't know,NA,NA,1
BG,5,prtvtbbg,1,GERB,760,GERB,1
BG,5,prtvtbbg,2,Koalitsia za Balgaria (BSP; PBS; Zemedelski saiuz) Al. Stamb,1665,KzB,1
BG,5,prtvtbbg,3,DPS - Dvijenie za prava i svobodi,982,DPS,1
BG,5,prtvtbbg,4,Siniata koalitsia (SDS; DSB),58,BC,1
BG,5,prtvtbbg,5,Partia Ataka,4798,Attack,1
BG,5,prtvtbbg,6,"Red, zakonnost i spravedlivost (RZS)",272,RZS,1
BG,5,prtvtbbg,7,NDSV,374,NDSV,1
BG,5,prtvtbbg,8,PP Lider,265,LR,1
BG,5,prtvtbbg,11,PP Zelenite,659,ZP,1
BG,5,prtvtbbg,15,Balgarski Natsionalen Saiuz – ND,263,BNS,1
BG,5,prtvtbbg,16,Druga politicheska sila,2634,unknown,1
BG,5,prtvtbbg,17,Nezavisim kandidat,2633,indep,1
BG,5,prtvtbbg,18,Not applicable,NA,NA,1
BG,5,prtvtbbg,19,Refusal,NA,NA,1
BG,5,prtvtbbg,20,Don't know,NA,NA,1
BG,5,prtvtbbg,21,No answer,NA,NA,1
BG,6,prtvtcbg,1,PP GERB,760,GERB,1
BG,6,prtvtcbg,2,Balgarska sotsialisticheska partia (BSP),757,BSP,1
BG,6,prtvtcbg,3,PP Ataka,4798,Attack,1
BG,6,prtvtcbg,4,"PP Red, zakonnost i spravedlivost (RZS)",2635,1-perc,1
BG,6,prtvtcbg,5,PP VMRO – Balgarsko natsionalno dvizhenie,2056,IMRO,1
BG,6,prtvtcbg,6,PP BZNS,2060,BZNS-NP,1
BG,6,prtvtcbg,7,PP Natsionalen front za dpasenie na Bulgaria,2057,NFSB,1
BG,6,prtvtcbg,8,KP Sayuz na desnite sili,482,SDS,1
BG,6,prtvtcbg,9,PP Natsionalno dvizhenie Edinstvo,2635,1-perc,1
BG,6,prtvtcbg,11,PP Partia za horata ot naroda,2634,unknown,1
BG,6,prtvtcbg,12,PP Balgarska demokratichna obshtnost,2635,1-perc,1
BG,6,prtvtcbg,13,"Kandidati, izdignati ot Initsiativni komiteti",2633,indep,1
BG,6,prtvtcbg,14,Not applicable,,,1
BG,6,prtvtcbg,15,Refusal,,,1
BG,6,prtvtcbg,16,Don't know,,,1
BG,6,prtvtcbg,17,No answer,,,1
BG,9,prtvtdbg,1,PP GERB,760,GERB,0
BG,9,prtvtdbg,2,Balgarska sotsialisticheska partia (BSP),757,BSP,0
BG,9,prtvtdbg,3,"Obedineni patrioti - NFSB, Ataka i VMRO",2056,IMRO,0
BG,9,prtvtdbg,4,Dvizhenie za prava i svobodi (DPS),,DPS,0
BG,9,prtvtdbg,5,Volya,5863,Volya,0
BG,9,prtvtdbg,6,Reformatorski blok - Glas Naroden,3189,RB,0
BG,9,prtvtdbg,7,Koalitsiya Dvizhenie za Bulgariya,1665,KzB,0
BG,9,prtvtdbg,8,Obedinenie DOST,,,0
BG,9,prtvtdbg,9,Nova republika - DSB - Suyuz za Plovdiv - BDO,,Nova republika - DSB - Suyuz za Plovdiv - BDO,0
BG,9,prtvtdbg,10,Koalitsiya ABV – Dvizhenie 21,,Koalitsiya ABV – Dvizhenie 21,0
BG,9,prtvtdbg,11,Vuzrazhdane,5862,Vuzrazhdane,0
CH,1,prtvtch,1,Radicals,360,FDP,1
CH,1,prtvtch,2,Christian-democrats,1808,KK/CVP,1
CH,1,prtvtch,3,Social-democrats,29,SP,1
CH,1,prtvtch,4,Swiss People's Party,308,SVP,1
CH,1,prtvtch,5,Liberal Party,444,LPS,1
CH,1,prtvtch,6,Alliance of the Independents,1194,LdU,1
CH,1,prtvtch,7,Evangelical People's Party,1123,EVP,1
CH,1,prtvtch,8,Christian-Social Party,1122,CsP,1
CH,1,prtvtch,9,Swiss Labour Party,669,PdA,1
CH,1,prtvtch,10,Green Party,1006,Grue,1
CH,1,prtvtch,11,Swiss Democrats,1819,NA-SD,1
CH,1,prtvtch,12,Federal Democratic Union,631,EDU,1
CH,1,prtvtch,13,Freiheits-Partei,1311,A/FPS,1
CH,1,prtvtch,14,Women's Parties,1201,FGr,1
CH,1,prtvtch,15,Lega dei Ticinesi,1661,LdT,1
CH,1,prtvtch,16,Others,NA,NA,1
CH,1,prtvtch,17,Not applicable,NA,NA,1
CH,1,prtvtch,18,Refusal,NA,NA,1
CH,1,prtvtch,19,Don't know,NA,NA,1
CH,2,prtvtch,1,Radicals,360,FDP,1
CH,2,prtvtch,2,Christian-democrats,1808,KK/CVP,1
CH,2,prtvtch,3,Social-democrats,29,SP,1
CH,2,prtvtch,4,Swiss People's Party,308,SVP,1
CH,2,prtvtch,5,Liberal Party,444,LPS,1
CH,2,prtvtch,7,Evangelical People's Party,1123,EVP,1
CH,2,prtvtch,8,Christian-Social Party,1122,CsP,1
CH,2,prtvtch,9,Swiss Labour Party,669,PdA,1
CH,2,prtvtch,10,Green Party,1006,Grue,1
CH,2,prtvtch,11,Swiss Democrats,1819,NA-SD,1
CH,2,prtvtch,12,Federal Democratic Union,631,EDU,1
CH,2,prtvtch,13,Freiheits-Partei,1311,A/FPS,1
CH,2,prtvtch,14,Women's Parties,1201,FGr,1
CH,2,prtvtch,15,Lega dei Ticinesi,1661,LdT,1
CH,2,prtvtch,16,Others,NA,NA,1
CH,2,prtvtch,17,Not applicable,NA,NA,1
CH,2,prtvtch,18,Refusal,NA,NA,1
CH,2,prtvtch,19,Don't know,NA,NA,1
CH,3,prtvtach,1,Radicals,360,FDP,1
CH,3,prtvtach,2,Christian-democrats,1808,KK/CVP,1
CH,3,prtvtach,3,Social-democrats,29,SP,1
CH,3,prtvtach,4,Swiss People's Party,308,SVP,1
CH,3,prtvtach,5,Liberal Party,444,LPS,1
CH,3,prtvtach,6,Evangelical People's Party,1123,EVP,1
CH,3,prtvtach,7,Christian-Social Party,1122,CsP,1
CH,3,prtvtach,8,Swiss Labour Party,669,PdA,1
CH,3,prtvtach,9,Green Party,1006,Grue,1
CH,3,prtvtach,10,Swiss Democrats,1819,NA-SD,1
CH,3,prtvtach,11,Federal Democratic Union,631,EDU,1
CH,3,prtvtach,12,Freiheits-Partei,1311,A/FPS,1
CH,3,prtvtach,13,Women's Parties,1201,FGr,1
CH,3,prtvtach,14,Lega dei Ticinesi,1661,LdT,1
CH,3,prtvtach,15,Others,NA,NA,1
CH,3,prtvtach,16,Not applicable,NA,NA,1
CH,3,prtvtach,17,Refusal,NA,NA,1
CH,3,prtvtach,18,Don't know,NA,NA,1
CH,4,prtvtbch,1,Radicals,360,FDP,1
CH,4,prtvtbch,2,Christian democrats,1808,KK/CVP,1
CH,4,prtvtbch,3,Socialist party,29,SP,1
CH,4,prtvtbch,4,Swiss people party,308,SVP,1
CH,4,prtvtbch,5,Liberal party,444,LPS,1
CH,4,prtvtbch,6,Christian-social,1122,CsP,1
CH,4,prtvtbch,7,Swiss labor party,669,PdA,1
CH,4,prtvtbch,8,Green party,1006,Grue,1
CH,4,prtvtbch,9,Green liberal party,1759,GPL,1
CH,4,prtvtbch,10,Swiss democrats,1819,NA-SD,1
CH,4,prtvtbch,11,Federal Democratic Union,631,EDU,1
CH,4,prtvtbch,12,Evangelical People's Party,1123,EVP,1
CH,4,prtvtbch,13,Lega dei Ticinese,1661,LdT,1
CH,4,prtvtbch,15,Blank paper,3086,tech,1
CH,4,prtvtbch,16,Mixed vote,3086,tech,1
CH,4,prtvtbch,17,Not applicable,NA,NA,1
CH,4,prtvtbch,18,Refusal,NA,NA,1
CH,4,prtvtbch,19,Don't know,NA,NA,1
CH,4,prtvtbch,20,No answer,NA,NA,1
CH,5,prtvtcch,1,Radicals,360,FDP,1
CH,5,prtvtcch,2,Christian Democrats,1808,KK/CVP,1
CH,5,prtvtcch,3,Socialist Party,29,SP,1
CH,5,prtvtcch,4,Swiss People’s Party,308,SVP,1
CH,5,prtvtcch,5,Liberal Party,444,LPS,1
CH,5,prtvtcch,6,Christian-Social Party,1122,CsP,1
CH,5,prtvtcch,7,Swiss Labour Party,669,PdA,1
CH,5,prtvtcch,8,Green Party,1006,Grue,1
CH,5,prtvtcch,9,Green Liberal Party,1759,GPL,1
CH,5,prtvtcch,10,Swiss Democrats,1819,NA-SD,1
CH,5,prtvtcch,11,Federal Democratic Union,631,EDU,1
CH,5,prtvtcch,12,Evangelical People’s Party,1123,EVP,1
CH,5,prtvtcch,13,Ticino League,1661,LdT,1
CH,5,prtvtcch,14,Blank paper,3086,tech,1
CH,5,prtvtcch,15,Mixed vote,3086,tech,1
CH,5,prtvtcch,16,Other party,NA,NA,1
CH,5,prtvtcch,17,Not applicable,NA,NA,1
CH,5,prtvtcch,18,Refusal,NA,NA,1
CH,5,prtvtcch,19,Don't know,NA,NA,1
CH,6,prtvtdch,1,Swiss People's Party,308,SVP,1
CH,6,prtvtdch,2,Socialist Party,29,SP,1
CH,6,prtvtdch,3,Radical Liberals,1231,FDP,1
CH,6,prtvtdch,4,Christian Democrats,1808,KK/CVP,1
CH,6,prtvtdch,5,Green Party,1006,Grue,1
CH,6,prtvtdch,6,Green Liberal Party,1759,GPL,1
CH,6,prtvtdch,7,Bourgois-democratic Party,1415,BDP,1
CH,6,prtvtdch,8,Evangelical People's Party,1123,EVP,1
CH,6,prtvtdch,9,Federal Democratic Union,631,EDU,1
CH,6,prtvtdch,11,Swiss Labour Party,669,PdA,1
CH,6,prtvtdch,12,Movement of the Citizens belonging to French-speaking Switze,8176,MCG,1
CH,6,prtvtdch,14,Alternative Left,NA,NA,1
CH,6,prtvtdch,15,Swiss Democrats,1819,NA-SD,1
CH,6,prtvtdch,16,Pirate Party Switzerland,2939,1-perc,1
CH,6,prtvtdch,18,Blank paper,3086,tech,1
CH,6,prtvtdch,19,Mixed vote,3086,tech,1
CH,6,prtvtdch,20,Not applicable,NA,NA,1
CH,6,prtvtdch,21,Refusal,NA,NA,1
CH,6,prtvtdch,22,Don't know,NA,NA,1
CH,7,prtvtech,1,Swiss People's Party,308,SVP,1
CH,7,prtvtech,2,Socialist Party,29,SP,1
CH,7,prtvtech,3,Radical Liberals,1231,FDP,1
CH,7,prtvtech,4,Christian Democrats,1808,KK/CVP,1
CH,7,prtvtech,5,Green Party,1006,Grue,1
CH,7,prtvtech,6,Green Liberal Party,1759,GPL,1
CH,7,prtvtech,7,Bourgois-democratic Party,1415,BDP,1
CH,7,prtvtech,8,Evangelical People's Party,1123,EVP,1
CH,7,prtvtech,9,Federal Democratic Union,631,EDU,1
CH,7,prtvtech,10,Ticino League,1661,LdT,1
CH,7,prtvtech,11,Swiss Labour Party,669,PdA,1
CH,7,prtvtech,12,Movement of the Citizens belonging to French-speaking Switze,8176,MCG,1
CH,7,prtvtech,13,Christian Social Party,1122,CsP,1
CH,7,prtvtech,14,Alternative Left,NA,NA,1
CH,7,prtvtech,18,Other party,NA,NA,1
CH,7,prtvtech,19,Blank paper,3086,tech,1
CH,7,prtvtech,21,Not applicable,NA,NA,1
CH,7,prtvtech,22,Refusal,NA,NA,1
CH,7,prtvtech,23,Don't know,NA,NA,1
CH,8,prtvtfch,1,Swiss People's Party,308,SVP,1
CH,8,prtvtfch,2,Social Democratic Party,29,SP,1
CH,8,prtvtfch,3,Radical Liberals,1231,FDP,1
CH,8,prtvtfch,4,Christian Democrats,1808,KK/CVP,1
CH,8,prtvtfch,5,Green Party,1006,Grue,1
CH,8,prtvtfch,6,Green Liberal Party,1759,GPL,1
CH,8,prtvtfch,7,Bourgois-democratic Party,1415,BDP,1
CH,8,prtvtfch,8,Evangelical People's Party,1123,EVP,1
CH,8,prtvtfch,9,Federal Democratic Union,631,EDU,1
CH,8,prtvtfch,10,Ticino League,1661,LdT,1
CH,8,prtvtfch,11,Swiss Labour Party,669,PdA,1
CH,8,prtvtfch,16,Pirate Party Switzerland,,,1
CH,9,prtvtgch,1,Swiss People's Party,308,SVP,0
CH,9,prtvtgch,2,Social Democratic Party / Socialist Party,29,SP,0
CH,9,prtvtgch,3,Radical Liberals,1231,FDP,0
